load_dt (UTC);map_code;load_nature;load_power (MW);commodity;load_power (GW)
2017-12-31 23:00:00+00:00;FR;load_nature_forecast D-0;58900.0;EL;58.9
2017-12-31 23:00:00+00:00;FR;load_nature_forecast D-1;56800.0;EL;56.8
2017-12-31 23:00:00+00:00;FR;load_nature_observation;61127.0;EL;61.127
2017-12-31 23:15:00+00:00;FR;load_nature_forecast D-0;58300.0;EL;58.3
2017-12-31 23:15:00+00:00;FR;load_nature_forecast D-1;56250.0;EL;56.25
2017-12-31 23:15:00+00:00;FR;load_nature_observation;;EL;
2017-12-31 23:30:00+00:00;FR;load_nature_forecast D-0;57700.0;EL;57.7
2017-12-31 23:30:00+00:00;FR;load_nature_forecast D-1;55700.0;EL;55.7
2017-12-31 23:30:00+00:00;FR;load_nature_observation;59962.0;EL;59.962
2017-12-31 23:45:00+00:00;FR;load_nature_forecast D-0;56750.0;EL;56.75
2017-12-31 23:45:00+00:00;FR;load_nature_forecast D-1;54800.0;EL;54.8
2017-12-31 23:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 00:00:00+00:00;FR;load_nature_forecast D-0;55800.0;EL;55.8
2018-01-01 00:00:00+00:00;FR;load_nature_forecast D-1;53900.0;EL;53.9
2018-01-01 00:00:00+00:00;FR;load_nature_observation;57879.0;EL;57.879
2018-01-01 00:15:00+00:00;FR;load_nature_forecast D-0;56200.0;EL;56.2
2018-01-01 00:15:00+00:00;FR;load_nature_forecast D-1;54300.0;EL;54.3
2018-01-01 00:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 00:30:00+00:00;FR;load_nature_forecast D-0;56600.0;EL;56.6
2018-01-01 00:30:00+00:00;FR;load_nature_forecast D-1;54700.0;EL;54.7
2018-01-01 00:30:00+00:00;FR;load_nature_observation;57901.0;EL;57.901
2018-01-01 00:45:00+00:00;FR;load_nature_forecast D-0;56400.0;EL;56.4
2018-01-01 00:45:00+00:00;FR;load_nature_forecast D-1;54450.0;EL;54.45
2018-01-01 00:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 01:00:00+00:00;FR;load_nature_forecast D-0;56200.0;EL;56.2
2018-01-01 01:00:00+00:00;FR;load_nature_forecast D-1;54200.0;EL;54.2
2018-01-01 01:00:00+00:00;FR;load_nature_observation;57261.0;EL;57.261
2018-01-01 01:15:00+00:00;FR;load_nature_forecast D-0;55350.0;EL;55.35
2018-01-01 01:15:00+00:00;FR;load_nature_forecast D-1;53600.0;EL;53.6
2018-01-01 01:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 01:30:00+00:00;FR;load_nature_forecast D-0;54500.0;EL;54.5
2018-01-01 01:30:00+00:00;FR;load_nature_forecast D-1;53000.0;EL;53.0
2018-01-01 01:30:00+00:00;FR;load_nature_observation;56780.0;EL;56.78
2018-01-01 01:45:00+00:00;FR;load_nature_forecast D-0;53600.0;EL;53.6
2018-01-01 01:45:00+00:00;FR;load_nature_forecast D-1;51900.0;EL;51.9
2018-01-01 01:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 02:00:00+00:00;FR;load_nature_forecast D-0;52700.0;EL;52.7
2018-01-01 02:00:00+00:00;FR;load_nature_forecast D-1;50800.0;EL;50.8
2018-01-01 02:00:00+00:00;FR;load_nature_observation;54727.0;EL;54.727
2018-01-01 02:15:00+00:00;FR;load_nature_forecast D-0;52100.0;EL;52.1
2018-01-01 02:15:00+00:00;FR;load_nature_forecast D-1;50000.0;EL;50.0
2018-01-01 02:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 02:30:00+00:00;FR;load_nature_forecast D-0;51500.0;EL;51.5
2018-01-01 02:30:00+00:00;FR;load_nature_forecast D-1;49200.0;EL;49.2
2018-01-01 02:30:00+00:00;FR;load_nature_observation;53596.0;EL;53.596
2018-01-01 02:45:00+00:00;FR;load_nature_forecast D-0;50850.0;EL;50.85
2018-01-01 02:45:00+00:00;FR;load_nature_forecast D-1;48450.0;EL;48.45
2018-01-01 02:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 03:00:00+00:00;FR;load_nature_forecast D-0;50200.0;EL;50.2
2018-01-01 03:00:00+00:00;FR;load_nature_forecast D-1;47700.0;EL;47.7
2018-01-01 03:00:00+00:00;FR;load_nature_observation;52212.0;EL;52.212
2018-01-01 03:15:00+00:00;FR;load_nature_forecast D-0;49800.0;EL;49.8
2018-01-01 03:15:00+00:00;FR;load_nature_forecast D-1;47100.0;EL;47.1
2018-01-01 03:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 03:30:00+00:00;FR;load_nature_forecast D-0;49400.0;EL;49.4
2018-01-01 03:30:00+00:00;FR;load_nature_forecast D-1;46500.0;EL;46.5
2018-01-01 03:30:00+00:00;FR;load_nature_observation;51331.0;EL;51.331
2018-01-01 03:45:00+00:00;FR;load_nature_forecast D-0;49150.0;EL;49.15
2018-01-01 03:45:00+00:00;FR;load_nature_forecast D-1;46150.0;EL;46.15
2018-01-01 03:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 04:00:00+00:00;FR;load_nature_forecast D-0;48900.0;EL;48.9
2018-01-01 04:00:00+00:00;FR;load_nature_forecast D-1;45800.0;EL;45.8
2018-01-01 04:00:00+00:00;FR;load_nature_observation;50629.0;EL;50.629
2018-01-01 04:15:00+00:00;FR;load_nature_forecast D-0;48900.0;EL;48.9
2018-01-01 04:15:00+00:00;FR;load_nature_forecast D-1;45850.0;EL;45.85
2018-01-01 04:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 04:30:00+00:00;FR;load_nature_forecast D-0;48900.0;EL;48.9
2018-01-01 04:30:00+00:00;FR;load_nature_forecast D-1;45900.0;EL;45.9
2018-01-01 04:30:00+00:00;FR;load_nature_observation;50844.0;EL;50.844
2018-01-01 04:45:00+00:00;FR;load_nature_forecast D-0;48850.0;EL;48.85
2018-01-01 04:45:00+00:00;FR;load_nature_forecast D-1;45850.0;EL;45.85
2018-01-01 04:45:00+00:00;FR;load_nature_observation;;EL;
