publication_id;version;publication_dt (UTC);outage_begin_dt (UTC);outage_end_dt (UTC);unit_name;available capacity (MW);nominal capacity (MW);producer_name;map_code;production_source;creation_dt (UTC);outage_type;outage_cause;outage_status;source
-EDF-05470-EDF-T-00193721_002;2;2025-01-01 12:22:06+00:00;;;NOGENT 2;350.0;1310.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Inactif;RTE
-EDF-05470-EDF-T-00193721_001;1;2025-01-01 09:02:07+00:00;;;NOGENT 2;350.0;1310.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00193630_002;2;2025-01-01 09:31:06+00:00;;;BUGEY 5;0.0;880.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00193630_001;1;2024-12-31 14:05:11+00:00;;;BUGEY 5;0.0;880.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00193390_004;4;2025-01-01 09:30:07+00:00;;;BUGEY 5;0.0;880.0;EDF;FR;nuclear;;fortuitous;Défaillance;Inactif;RTE
-EDF-05470-EDF-T-00193390_003;3;2024-12-30 18:45:10+00:00;;;BUGEY 5;0.0;880.0;EDF;FR;nuclear;;fortuitous;Défaillance;Actif;RTE
-EDF-05470-EDF-T-00193390_002;2;2024-12-30 14:08:07+00:00;;;BUGEY 5;0.0;880.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00193390_001;1;2024-12-30 14:03:08+00:00;;;BUGEY 5;200.0;880.0;EDF;FR;nuclear;;fortuitous;Défaillance;Actif;RTE
-EDF-05470-EDF-T-00193023_013;13;2025-01-01 03:06:08+00:00;;;BLAYAIS 3;825.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Inactif;RTE
-EDF-05470-EDF-T-00193023_012;12;2024-12-31 22:13:09+00:00;;;BLAYAIS 3;825.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00193023_011;11;2024-12-31 17:17:07+00:00;;;BLAYAIS 3;825.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
