date_publication_utc;message_id;version;statut;type_indisponibilite;producteur;nom_unite;site;code_eic;filiere;puissance_max_mw;puissance_dispo_min_mw;puissance_indispo_max_mw;cause
2023-06-19 17:06:00+00:00;-EDF-05470-EDF-T-00038383_180;180;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-06-19 14:56:00+00:00;-EDF-05470-EDF-T-00038383_179;179;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-06-19 12:57:00+00:00;-EDF-05470-EDF-T-00038383_178;178;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-06-19 12:36:00+00:00;-EDF-05470-EDF-T-00038383_177;177;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-06-19 08:01:00+00:00;-EDF-05470-EDF-T-00038383_176;176;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-06-18 09:46:00+00:00;-EDF-05470-EDF-T-00038383_175;175;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-06-18 06:51:00+00:00;-EDF-05470-EDF-T-00038383_174;174;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-06-14 10:43:00+00:00;-EDF-05470-EDF-T-00038383_173;173;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-06-06 09:16:00+00:00;-EDF-05470-EDF-T-00038383_172;172;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-05-23 11:36:00+00:00;-EDF-05470-EDF-T-00038383_171;171;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-05-11 18:46:00+00:00;-EDF-05470-EDF-T-00038383_170;170;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-28 11:51:00+00:00;-EDF-05470-EDF-T-00038383_169;169;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-27 11:47:00+00:00;-EDF-05470-EDF-T-00038383_168;168;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-26 10:28:00+00:00;-EDF-05470-EDF-T-00038383_167;167;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-25 07:36:00+00:00;-EDF-05470-EDF-T-00038383_166;166;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-24 09:51:00+00:00;-EDF-05470-EDF-T-00038383_165;165;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-23 09:36:00+00:00;-EDF-05470-EDF-T-00038383_164;164;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-22 10:26:00+00:00;-EDF-05470-EDF-T-00038383_163;163;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-21 11:07:00+00:00;-EDF-05470-EDF-T-00038383_162;162;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-20 12:47:00+00:00;-EDF-05470-EDF-T-00038383_161;161;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-19 10:56:00+00:00;-EDF-05470-EDF-T-00038383_160;160;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-18 10:08:00+00:00;-EDF-05470-EDF-T-00038383_159;159;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-17 10:52:00+00:00;-EDF-05470-EDF-T-00038383_158;158;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-16 07:36:00+00:00;-EDF-05470-EDF-T-00038383_157;157;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-15 16:46:00+00:00;-EDF-05470-EDF-T-00038383_156;156;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-14 14:02:00+00:00;-EDF-05470-EDF-T-00038383_155;155;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
2023-04-13 17:57:00+00:00;-EDF-05470-EDF-T-00038383_154;154;Actif;Planifiée;EDF;BLAYAIS 1;BLAYAIS;17W100P100P0092E;Nucléaire;910;0;910;Information Complémentaire
