identifier,version,creation_date,publication_date,start_date,end_date,unavailability_type,event_status,fuel_type,market_participant,affected_asset_or_unit_eic_code,affected_asset_or_unit_name,affected_asset_or_unit_type,installed_capacity_mw,available_capacity_mw,unavailable_capacity_mw,reason,remarks
EC-EDF-05470-EDF-T-00010950,1,2015-01-31T20:07:00Z,2015-01-31T20:07:00Z,2015-02-01T05:00:00Z,2015-02-01T07:00:00Z,PLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0126N,FLAMANVILLE 1,GENERATION_UNIT,1330,1197,133,COMPLEMENTARY_INFORMATION,Foreseen Maintenance / Maintenance prévue
EC-EDF-05470-EDF-T-00010948,2,2015-01-31T18:27:00Z,2015-01-31T19:57:00Z,2015-01-31T16:01:00Z,2015-01-31T19:46:00Z,PLANNED,INACTIVE,NUCLEAR,EDF,17W100P100P0126N,FLAMANVILLE 1,GENERATION_UNIT,1330,1197,133,COMPLEMENTARY_INFORMATION,Foreseen Maintenance / Maintenance prévue
EC-EDF-05470-EDF-T-00010948,1,2015-01-31T18:27:00Z,2015-01-31T18:27:00Z,2015-01-31T16:01:00Z,2015-02-01T07:29:00Z,PLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0126N,FLAMANVILLE 1,GENERATION_UNIT,1330,1197,133,COMPLEMENTARY_INFORMATION,Foreseen Maintenance / Maintenance prévue
EC-EDF-05470-EDF-T-00010946,2,2015-01-31T11:42:00Z,2015-01-31T15:32:00Z,2015-01-31T11:20:00Z,2015-01-31T15:30:00Z,UNPLANNED,INACTIVE,NUCLEAR,EDF,17W100P100P0119K,CRUAS 4,GENERATION_UNIT,915,800,115,COMPLEMENTARY_INFORMATION,Failure / Défaillance
EC-EDF-05470-EDF-T-00010946,1,2015-01-31T11:42:00Z,2015-01-31T11:42:00Z,2015-01-31T11:20:00Z,2015-02-01T11:20:00Z,UNPLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0119K,CRUAS 4,GENERATION_UNIT,915,800,115,COMPLEMENTARY_INFORMATION,Failure / Défaillance
EC-EDF-05470-EDF-T-00010038,4,2014-12-17T04:28:00Z,2015-01-31T03:17:00Z,2015-01-23T21:00:00Z,2015-05-03T22:00:00Z,PLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0112Y,CHOOZ 2,GENERATION_UNIT,1500,0,1500,COMPLEMENTARY_INFORMATION,"After its re-coupling, the plant will gradually return by various load threshold to full power. The ramp-up period may take several days.
--
Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée peut prendre plusieurs jours."
EC-EDF-05470-EDF-T-00010944,1,2015-01-30T18:11:00Z,2015-01-30T18:11:00Z,2015-02-01T04:00:00Z,2015-02-01T14:00:00Z,PLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0123T,DAMPIERRE 4,GENERATION_UNIT,890,250,640,COMPLEMENTARY_INFORMATION,Foreseen Maintenance / Maintenance prévue
EC-EDF-05470-EDF-T-00010938,4,2015-01-30T13:59:00Z,2015-01-30T16:24:00Z,2015-01-30T13:50:00Z,2015-01-30T16:15:00Z,UNPLANNED,INACTIVE,NUCLEAR,EDF,17W100P100P0090I,BELLEVILLE 1,GENERATION_UNIT,1310,1150,160,COMPLEMENTARY_INFORMATION,Failure / Défaillance
EC-EDF-05470-EDF-T-00010938,3,2015-01-30T13:59:00Z,2015-01-30T15:59:00Z,2015-01-30T13:50:00Z,2015-01-30T17:00:00Z,UNPLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0090I,BELLEVILLE 1,GENERATION_UNIT,1310,1150,160,COMPLEMENTARY_INFORMATION,Failure / Défaillance
EC-EDF-05470-EDF-T-00010938,2,2015-01-30T13:59:00Z,2015-01-30T15:14:00Z,2015-01-30T13:50:00Z,2015-01-30T16:00:00Z,UNPLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0090I,BELLEVILLE 1,GENERATION_UNIT,1310,1150,160,COMPLEMENTARY_INFORMATION,Failure / Défaillance
EC-EDF-05470-EDF-T-00010929,2,2015-01-30T01:15:00Z,2015-01-30T14:44:00Z,2015-01-30T01:12:00Z,2015-01-31T01:00:00Z,UNPLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0149B,TRICASTIN 1,GENERATION_UNIT,915,500,415,COMPLEMENTARY_INFORMATION,Failure / Défaillance
EC-EDF-05470-EDF-T-00010938,1,2015-01-30T13:59:00Z,2015-01-30T13:59:00Z,2015-01-30T13:50:00Z,2015-01-31T13:50:00Z,UNPLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0090I,BELLEVILLE 1,GENERATION_UNIT,1310,1150,160,COMPLEMENTARY_INFORMATION,Failure / Défaillance
EC-EDF-05470-EDF-T-00010075,2,2015-01-30T12:59:00Z,2015-01-30T12:59:00Z,2016-03-26T01:00:00Z,2016-05-22T00:00:00Z,PLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0092E,BLAYAIS 1,GENERATION_UNIT,910,0,910,COMPLEMENTARY_INFORMATION,"After its re-coupling, the plant will gradually return by various load threshold to full power. The ramp-up period may take several days.
--
Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée peut prendre plusieurs jours."
EC-EDF-05470-EDF-T-00010078,2,2015-01-30T12:59:00Z,2015-01-30T12:59:00Z,2016-08-06T00:00:00Z,2016-09-06T00:00:00Z,PLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P00958,BLAYAIS 4,GENERATION_UNIT,910,0,910,COMPLEMENTARY_INFORMATION,"After its re-coupling, the plant will gradually return by various load threshold to full power. The ramp-up period may take several days.
--
Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée peut prendre plusieurs jours."
EC-EDF-05470-EDF-T-00010077,2,2015-01-30T12:54:00Z,2015-01-30T12:54:00Z,2016-05-28T00:00:00Z,2016-07-23T00:00:00Z,PLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0094A,BLAYAIS 3,GENERATION_UNIT,910,0,910,COMPLEMENTARY_INFORMATION,"After its re-coupling, the plant will gradually return by various load threshold to full power. The ramp-up period may take several days.
--
Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée peut prendre plusieurs jours."
EC-EDF-05470-EDF-T-00010934,1,2015-01-30T10:24:00Z,2015-01-30T10:24:00Z,2015-02-01T14:00:00Z,2015-02-01T15:00:00Z,PLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0147F,ST LAURENT 1,GENERATION_UNIT,915,790,125,COMPLEMENTARY_INFORMATION,Foreseen Maintenance / Maintenance prévue
EC-EDF-05470-EDF-T-00010931,1,2015-01-30T06:25:00Z,2015-01-30T06:25:00Z,2015-01-31T02:00:00Z,2015-02-01T13:00:00Z,PLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0143N,PENLY 1,GENERATION_UNIT,1330,759,571,COMPLEMENTARY_INFORMATION,Foreseen Maintenance / Maintenance prévue
EC-EDF-05470-EDF-T-00010929,1,2015-01-30T01:15:00Z,2015-01-30T01:15:00Z,2015-01-30T01:12:00Z,2015-01-31T01:12:00Z,UNPLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0149B,TRICASTIN 1,GENERATION_UNIT,915,500,415,COMPLEMENTARY_INFORMATION,Failure / Défaillance
EC-EDF-05470-EDF-T-00010926,2,2015-01-29T17:42:00Z,2015-01-29T20:30:00Z,2015-01-29T17:30:00Z,2015-01-29T20:20:00Z,UNPLANNED,INACTIVE,NUCLEAR,EDF,17W100P100P0152M,TRICASTIN 3,GENERATION_UNIT,915,480,435,COMPLEMENTARY_INFORMATION,Failure / Défaillance
EC-EDF-05470-EDF-T-00010927,1,2015-01-29T18:10:00Z,2015-01-29T18:10:00Z,2015-01-30T14:00:00Z,2015-01-30T15:30:00Z,PLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0109N,CHINON 4,GENERATION_UNIT,905,427,478,COMPLEMENTARY_INFORMATION,Foreseen Maintenance / Maintenance prévue
EC-EDF-05470-EDF-T-00010926,1,2015-01-29T17:42:00Z,2015-01-29T17:42:00Z,2015-01-29T17:30:00Z,2015-01-30T17:30:00Z,UNPLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0152M,TRICASTIN 3,GENERATION_UNIT,915,480,435,COMPLEMENTARY_INFORMATION,Failure / Défaillance
EC-EDF-05470-EDF-T-00010310,2,2015-01-29T16:50:00Z,2015-01-29T16:50:00Z,2015-01-30T02:00:00Z,2015-01-30T03:00:00Z,PLANNED,DISMISSED,NUCLEAR,EDF,17W100P100P0130W,GRAVELINES 1,GENERATION_UNIT,910,455,455,COMPLEMENTARY_INFORMATION,Foreseen Maintenance / Maintenance prévue
EC-EDF-05470-EDF-T-00010924,1,2015-01-29T09:58:00Z,2015-01-29T09:58:00Z,2015-01-31T01:00:00Z,2015-01-31T02:00:00Z,PLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0103Z,CATTENOM 2,GENERATION_UNIT,1300,1177,123,COMPLEMENTARY_INFORMATION,Foreseen Maintenance / Maintenance prévue
EC-EDF-05470-EDF-T-00010923,1,2015-01-29T07:18:00Z,2015-01-29T07:18:00Z,2015-02-01T08:00:00Z,2015-02-01T10:45:00Z,PLANNED,ACTIVE,NUCLEAR,EDF,17W100P100P0106T,CHINON 1,GENERATION_UNIT,905,300,605,COMPLEMENTARY_INFORMATION,Foreseen Maintenance / Maintenance prévue
EC-EDF-05470-EDF-T-00010295,2,2015-01-27T13:31:00Z,2015-01-27T13:31:00Z,2015-01-29T14:00:00Z,2015-01-29T15:30:00Z,PLANNED,DISMISSED,NUCLEAR,EDF,17W100P100P0109N,CHINON 4,GENERATION_UNIT,905,425,480,COMPLEMENTARY_INFORMATION,Foreseen Maintenance / Maintenance prévue
